"Data Source","Indicadores del desarrollo mundial",

"Last Updated Date","2020-09-08",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Aruba","ABW","Desempleo, total (% de la población activa total) (estimación modelado OIT)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afganistán","AFG","Desempleo, total (% de la población activa total) (estimación modelado OIT)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.2180004119873","11.2930002212524","11.4420003890991","11.4700002670288","11.4770002365112","11.4989995956421","11.4799995422363","11.4720001220703","11.5469999313354","11.5170001983643","11.5129995346069","11.5959997177124","11.6040000915527","11.5279998779297","11.4289999008179","11.2239999771118","11.0459995269775","10.9849996566772","11.3870000839233","11.4840002059937","11.4879999160767","11.5080003738403","11.5340003967285","11.4479999542236","11.3870000839233","11.3129997253418","11.1840000152588","11.0570001602173","11.1180000305176",
"Angola","AGO","Desempleo, total (% de la población activa total) (estimación modelado OIT)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.70799994468689","3.74000000953674","3.80399990081787","3.81599998474121","3.81900000572205","3.8289999961853","3.82100009918213","3.81800007820129","3.84999990463257","3.83699989318848","3.83500003814697","3.87100005149841","3.875","3.84200000762939","3.79999995231628","3.71199989318848","3.63700008392334","3.61199998855591","3.78200006484985","9.43000030517578","7.36199998855591","7.37900018692017","7.40000009536743","7.33099985122681","7.28200006484985","7.22300004959106","7.11899995803833","7.01900005340576","6.88600015640259",
"Albania","ALB","Desempleo, total (% de la población activa total) (estimación modelado OIT)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.1900005340576","16.2859992980957","16.4780006408691","16.511999130249","16.5219993591309","16.5499992370605","16.5249996185303","16.5160007476807","16.6110000610352","16.5729999542236","16.5669994354248","16.6730003356934","16.6840000152588","16.5860004425049","16.4599990844727","16.1959991455078","15.9659996032715","13.0600004196167","13.673999786377","14.0860004425049","13.4809999465942","13.3760004043579","15.8660001754761","17.4899997711182","17.0799999237061","15.2200002670288","13.75","12.3400001525879","12.331000328064",
"Andorra","AND","Desempleo, total (% de la población activa total) (estimación modelado OIT)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"El mundo árabe","ARB","Desempleo, total (% de la población activa total) (estimación modelado OIT)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.4488730755021","11.9508421557335","12.7578354470942","12.8918208769678","13.1748942966584","12.3388679771455","11.8273232257751","11.8603294819787","11.9928192516681","12.4241069978755","12.2897416577053","12.3028733083596","12.2635420006913","11.2508872567337","11.0699189326971","10.252185811018","9.78891220067803","9.45278599406514","9.15279419038916","9.24813497006807","10.2846890547939","10.4907725198761","10.5741310525293","10.6546267481255","10.6753196937496","10.4509449147842","10.6413131629946","10.5633442612973","10.3369462233629",
"Emiratos Árabes Unidos","ARE","Desempleo, total (% de la población activa total) (estimación modelado OIT)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.58000004291534","1.63499999046326","1.91799998283386","1.82000005245209","1.79999995231628","2","2.03200006484985","2.09299993515015","2.24300003051758","2.25","2.41100001335144","2.71499991416931","2.98799991607666","3.17600011825562","3.11999988555908","2.70300006866455","2.08100008964539","1.9559999704361","2.33100008964539","2.53299999237061","2.49600005149841","2.5090000629425","2.57599997520447","2.21199989318848","1.9099999666214","1.6360000371933","2.46300005912781","2.22900009155273","2.34800004959106",
"Argentina","ARG","Desempleo, total (% de la población activa total) (estimación modelado OIT)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.44000005722046","6.3600001335144","10.1000003814697","11.7600002288818","18.7999992370605","17.1100006103516","14.8199996948242","12.6499996185303","14.0500001907349","15","17.3199996948242","19.5900001525879","15.3599996566772","13.5220003128052","11.5059995651245","10.0769996643066","8.47000026702881","7.83699989318848","8.64500045776367","7.71400022506714","7.17999982833862","7.21700000762939","7.09999990463257","7.26800012588501","7.75","7.97700023651123","8.34700012207031","9.22000026702881","9.78899955749512",
"Armenia","ARM","Desempleo, total (% de la población activa total) (estimación modelado OIT)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.60000002384186","1.79999995231628","5.30000019073486","6.59999990463257","6.69999980926514","9.30000019073486","10.8000001907349","9.39999961853027","11.1999998092651","11.0539999008179","10.9329996109009","10.8920001983643","10.7829999923706","10.5979995727539","10.3929996490479","10.0900001525879","9.8120002746582","13.4750003814697","18.4360008239746","19.007999420166","18.443000793457","17.3010005950928","16.1790008544922","17.4979991912842","18.2609996795654","17.617000579834","17.7049999237061","17.496000289917","16.9899997711182",
"Samoa Americana","ASM","Desempleo, total (% de la población activa total) (estimación modelado OIT)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
