"País","Alfabetizacion","Desempleo","Gasto Publico","Maestros Capacitados","Poblacion Activa"
"inicial del dividendo demográfico",79.35073,5.68986989452834,NA,5.68986989452834,1281960644
"Irán, República Islámica del",NA,12.039999961853,3.95536,12.039999961853,27770616
"Iraq",NA,12.8620004653931,NA,12.8620004653931,10146991
"Irlanda",NA,5.73999977111816,NA,5.73999977111816,2385556
"Isla de Man",NA,NA,NA,NA,NA
"Isla de San Martín (parte francesa)",NA,NA,NA,NA,NA
"Islandia",NA,2.7039999961853,NA,2.7039999961853,212899
"Islas Caimán",NA,NA,NA,NA,NA
"Islas del Canal",NA,7.40999984741211,NA,7.40999984741211,84460
"Islas Feroe",NA,NA,NA,NA,NA
"Islas Marshall",NA,NA,NA,NA,NA
"Islas Salomón",NA,0.617999970912933,NA,0.617999970912933,327185
"Islas Turcas y Caicos",NA,NA,2.91435,NA,NA
"Islas Vírgenes (EE.UU.)",NA,8.39799976348877,NA,8.39799976348877,52142
"Islas Vírgenes Británicas",NA,NA,NA,NA,NA
"Israel",NA,3.99799990653992,NA,3.99799990653992,4102822
"Italia",99.15576,10.6099996566772,NA,10.6099996566772,26034264
"Jamaica",NA,9.10400009155273,5.40731,9.10400009155273,1473383
"Japón",NA,2.40000009536743,NA,2.40000009536743,68358370
"Jordania",98.22711,14.9589996337891,3.58851,14.9589996337891,2579658
"Kazajstán",99.78163,4.82499980926514,2.75095,4.82499980926514,9030838
"Kenya",81.53497,2.63499999046326,5.32024,2.63499999046326,23057935
"Kirguistán",99.586,5.96000003814697,NA,5.96000003814697,2564912
"Kiribati",NA,NA,NA,NA,NA
"Kosovo",NA,NA,NA,NA,NA
"Kuwait",96.05647,2.07599997520447,NA,2.07599997520447,2383249
"Lesotho",NA,23.9710006713867,6.51166,23.9710006713867,962772
"Letonia",99.88931,7.41200017929077,NA,7.41200017929077,1000226
"Líbano",95.06944,6.14300012588501,NA,6.14300012588501,2381501
"Liberia",NA,2.93199992179871,2.58412,2.93199992179871,2165501
